Word,Frequency,Frequency (%)
the,2016,6.47
of,1212,3.89
and,923,2.96
in,682,2.19
,457,1.47
russia,448,1.44
russian,383,1.23
retrieved,334,1.07
a,321,1.03
to,313,1.00
2021,234,0.75
2022,196,0.63
is,186,0.60
jstor,165,0.53
as,160,0.51
on,159,0.51
from,141,0.45
for,130,0.42
soviet,124,0.40
by,123,0.39
january,114,0.37
was,114,0.37
with,113,0.36
russias,107,0.34
world,104,0.33
1,103,0.33
its,93,0.30
june,91,0.29
war,90,0.29
university,87,0.28
has,84,0.27
may,83,0.27
2020,83,0.27
are,76,0.24
press,76,0.24
history,76,0.24
worlds,76,0.24
isbn,75,0.24
july,73,0.23
international,69,0.22
s2cid,69,0.22
2,66,0.21
federal,64,0.21
which,64,0.21
4,64,0.21
april,63,0.20
it,63,0.20
moscow,61,0.20
state,60,0.19
an,60,0.19
march,60,0.19
december,59,0.19
first,59,0.19
3,59,0.19
federation,58,0.19
new,57,0.18
were,56,0.18
review,55,0.18
most,55,0.18
february,54,0.17
european,51,0.16
november,51,0.16
europe,50,0.16
journal,49,0.16
october,49,0.16
union,49,0.16
p,48,0.15
pdf,48,0.15
country,47,0.15
ukraine,47,0.15
east,46,0.15
have,45,0.14
7,44,0.14
main,44,0.14
at,43,0.14
august,43,0.14
political,42,0.13
2023,41,0.13
studies,41,0.13
one,41,0.13
research,41,0.13
archived,41,0.13
largest,40,0.13
united,40,0.13
original,39,0.13
been,39,0.13
population,39,0.13
5,38,0.12
2018,38,0.12
27,38,0.12
september,38,0.12
states,37,0.12
15,36,0.12
18,36,0.12
economic,35,0.11
8,35,0.11
10,35,0.11
2015,35,0.11
rus,35,0.11
national,35,0.11
vladimir,34,0.11
2019,34,0.11
6,34,0.11
13,34,0.11
century,34,0.11
early,33,0.11
2014,33,0.11
sea,33,0.11
9,32,0.10
also,32,0.10
over,32,0.10
article,31,0.10
central,31,0.10
12,31,0.10
science,31,0.10
power,31,0.10
21,31,0.10
other,31,0.10
putin,30,0.10
during,29,0.09
his,29,0.09
24,29,0.09
became,29,0.09
23,29,0.09
years,28,0.09
into,28,0.09
who,28,0.09
30,28,0.09
oil,28,0.09
25,28,0.09
11,28,0.09
human,28,0.09
after,28,0.09
times,28,0.09
such,27,0.09
among,27,0.09
modern,27,0.09
million,27,0.09
issn,27,0.09
19,27,0.09
some,27,0.09
alexander,26,0.08
pp,26,0.08
francis,26,0.08
foreign,26,0.08
economy,26,0.08
great,26,0.08
including,26,0.08
pmid,26,0.08
e,26,0.08
eastern,25,0.08
14,25,0.08
1998,25,0.08
31,25,0.08
all,25,0.08
2010,25,0.08
two,25,0.08
american,24,0.08
popular,24,0.08
institute,24,0.08
north,24,0.08
york,24,0.08
many,24,0.08
space,24,0.08
agency,24,0.08
than,24,0.08
gdp,24,0.08
or,24,0.08
government,24,0.08
26,24,0.08
that,23,0.07
taylor,23,0.07
more,23,0.07
global,23,0.07
m,23,0.07
russians,23,0.07
energy,23,0.07
invasion,23,0.07
development,23,0.07
between,23,0.07
land,22,0.07
association,22,0.07
total,22,0.07
ed,22,0.07
across,22,0.07
gas,22,0.07
education,21,0.07
washington,21,0.07
while,21,0.07
western,21,0.07
2008,21,0.07
languages,21,0.07
language,21,0.07
service,21,0.07
about,21,0.07
their,21,0.07
2017,21,0.07
v,21,0.07
22,21,0.07
led,21,0.07
following,21,0.07
17,21,0.07
20,20,0.06
along,20,0.06
factbook,20,0.06
ethnic,20,0.06
28,20,0.06
constitution,20,0.06
oxford,20,0.06
congress,19,0.06
but,19,0.06
high,19,0.06
slavic,19,0.06
nations,19,0.06
president,19,0.06
dc,19,0.06
military,19,0.06
ii,19,0.06
saint,19,0.06
leading,19,0.06
petersburg,19,0.06
ivan,18,0.06
16,18,0.06
council,18,0.06
literature,18,0.06
countries,18,0.06
caucasus,18,0.06
2016,18,0.06
rights,18,0.06
had,18,0.06
since,18,0.06
michael,18,0.06
day,18,0.06
under,18,0.06
intelligence,18,0.06
siberia,18,0.06
health,18,0.06
29,17,0.05
oblast,17,0.05
mikhail,17,0.05
peter,17,0.05
major,17,0.05
rate,17,0.05
policy,17,0.05
be,17,0.05
free,17,0.05
division,17,0.05
climate,17,0.05
system,17,0.05
architecture,17,0.05
later,17,0.05
library,17,0.05
society,17,0.05
news,17,0.05
corruption,17,0.05
relations,16,0.05
well,16,0.05
age,16,0.05
slavonic,16,0.05
radio,16,0.05
culture,16,0.05
not,16,0.05
politics,16,0.05
social,16,0.05
battle,16,0.05
2012,16,0.05
this,16,0.05
time,16,0.05
crisis,16,0.05
large,16,0.05
only,15,0.05
however,15,0.05
kievan,15,0.05
made,15,0.05
civil,15,0.05
law,15,0.05
j,15,0.05
security,15,0.05
articles,15,0.05
statistics,15,0.05
curtis,15,0.05
regions,15,0.05
known,15,0.05
countrys,15,0.05
area,14,0.04
1991,14,0.04
species,14,0.04
publishing,14,0.04
include,14,0.04
cambridge,14,0.04
against,14,0.04
nature,14,0.04
art,14,0.04
period,14,0.04
glenn,14,0.04
south,14,0.04
historical,14,0.04
d,14,0.04
music,14,0.04
nuclear,14,0.04
2011,14,0.04
guardian,14,0.04
